gene_symbol	gene_id	Gene.Name	Case.PTV	Ctrl.PTV	Case.mis3	Ctrl.mis3	Case.mis2	Ctrl.mis2	P.ca.co..Class.1.	P.ca.co..Class.2.	P.ca.co..comb.	De.novo.PTV	De.novo.mis3	De.novo.mis2	P.de.novo	P.meta	Q.meta	OR..PTV.	OR..Class.I.	OR..Class.II.	Case.syn	Ctrl.syn	P.ca.co..syn.	P.meta..no.gnomAD	Case.Ctrl.PTV..no.gnomAD	Case.Ctrl.mis3..no.gnomAD	Case.Ctrl.mis2..no.gnomAD	P.ca.co..Class.I...no.gnomAD	P.ca.co..Class.II...no.gnomAD	P.ca.co..comb...no.gnomAD
AANAT	ENSG00000129673	Aralkylamine N-acetyltransferase	2	2	0	0	0	0	0.101	NA	0.101	NA	NA	NA	NA	0.101	1	4.01 (0.291<96>55.3)	4.01 (0.291<96>55.3)		15	22	0.0548	0.167	2/1	0/0	0/0	0.167	NA	0.167
AAR2	ENSG00000131043	AAR2 splicing factor homolog (S. cerevisiae)	8	14	0	0	0	0	0.146	NA	0.146	NA	NA	NA	NA	0.146	1	2.29 (0.834<96>5.86)	2.29 (0.834<96>5.86)		20	70	0.589	0.137	8/8	0/0	0/0	0.137	NA	0.137
AARD	ENSG00000205002	Alanine and arginine rich domain containing protein	2	5	0	0	0	0	0.712	NA	0.712	NA	NA	NA	NA	0.712	1	1.61 (0.153<96>9.81)	1.61 (0.153<96>9.81)		2	21	0.333	0.688	2/2	0/0	0/0	0.688	NA	0.688
AARS	ENSG00000090861	Alanyl-tRNA synthetase	12	46	0	0	0	0	0.859	NA	0.859	NA	NA	NA	NA	0.859	1	1.05 (0.505<96>2.01)	1.05 (0.505<96>2.01)		52	203	0.872	0.356	12/17	0/0	0/0	0.356	NA	0.356
AARS2	ENSG00000124608	Alanyl-tRNA synthetase 2, mitochondrial	29	60	0	0	0	0	0.00511	NA	0.00511	NA	NA	NA	NA	0.00511	0.567	1.94 (1.2<96>3.07)	1.94 (1.2<96>3.07)		51	175	0.394	0.0252	29/30	0/0	0/0	0.0252	NA	0.0252
AARSD1	ENSG00000266967	Alanyl-tRNA synthetase domain containing 1	8	32	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	1 (0.399<96>2.22)	1 (0.399<96>2.22)		14	95	0.0781	0.784	8/14	0/0	0/0	0.784	NA	0.784
AASDH	ENSG00000157426	Aminoadipate-semialdehyde dehydrogenase	25	74	0	0	0	0	0.162	NA	0.162	NA	NA	NA	NA	0.162	1	1.36 (0.825<96>2.16)	1.36 (0.825<96>2.16)		39	132	0.35	0.0579	25/32	0/0	0/0	0.0579	NA	0.0579
AASDHPPT	ENSG00000149313	Aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	9	19	0	0	0	0	0.12	NA	0.12	NA	NA	NA	NA	0.12	1	1.9 (0.758<96>4.41)	1.9 (0.758<96>4.41)		5	37	0.242	0.0512	9/7	0/0	0/0	0.0512	NA	0.0512
AASS	ENSG00000008311	Aminoadipate-semialdehyde synthase	12	45	0	0	0	0	0.414	NA	0.414	NA	NA	NA	NA	0.414	1	1.07 (0.515<96>2.06)	1.07 (0.515<96>2.06)		27	125	0.572	0.723	12/22	0/0	0/0	0.723	NA	0.723
AATF	ENSG00000108270	Apoptosis antagonizing transcription factor	7	26	0	0	0	0	0.689	NA	0.689	NA	NA	NA	NA	0.689	1	1.08 (0.396<96>2.56)	1.08 (0.396<96>2.56)		19	80	1	0.91	7/13	0/0	0/0	0.91	NA	0.91
AATK	ENSG00000181409	Apoptosis-associated tyrosine kinase	7	6	0	0	0	0	0.0532	NA	0.0532	NA	NA	NA	NA	0.0532	0.991	4.68 (1.35<96>16.9)	4.68 (1.35<96>16.9)		32	89	0.143	0.0808	7/4	0/0	0/0	0.0808	NA	0.0808
ABAT	ENSG00000183044	4-aminobutyrate aminotransferase	5	16	0	0	0	0	0.674	NA	0.674	NA	NA	NA	NA	0.674	1	1.25 (0.359<96>3.58)	1.25 (0.359<96>3.58)		25	127	0.365	0.606	5/13	0/0	0/0	0.606	NA	0.606
ABCA1	ENSG00000165029	ATP-binding cassette, sub-family A (ABC1), member 1	25	56	0	0	10	32	0.019	0.542	0.0154	NA	NA	NA	NA	0.0154	0.822	1.79 (1.07<96>2.92)	1.79 (1.07<96>2.92)	1.25 (0.55<96>2.62)	96	387	1	0.0243	25/30	0/0	10/10	0.0537	0.118	0.0243
ABCA10	ENSG00000154263	ATP-binding cassette, sub-family A (ABC1), member 10	20	73	0	0	0	0	0.781	NA	0.781	NA	NA	NA	NA	0.781	1	1.1 (0.635<96>1.82)	1.1 (0.635<96>1.82)		66	233	0.384	0.894	20/38	0/0	0/0	0.894	NA	0.894
ABCA12	ENSG00000144452	ATP-binding cassette, sub-family A (ABC1), member 12	25	95	0	0	0	0	0.697	NA	0.697	NA	NA	NA	NA	0.697	1	1.06 (0.651<96>1.66)	1.06 (0.651<96>1.66)		121	385	0.0254	0.385	25/43	0/0	0/0	0.385	NA	0.385
ABCA13	ENSG00000179869	ATP-binding cassette, sub-family A (ABC1), member 13	65	274	0	0	0	0	0.932	NA	0.932	NA	NA	NA	NA	0.932	1	0.952 (0.715<96>1.25)	0.952 (0.715<96>1.25)		174	696	0.966	0.974	65/140	0/0	0/0	0.974	NA	0.974
ABCA2	ENSG00000107331	ATP-binding cassette, sub-family A (ABC1), member 2	5	14	0	0	40	103	0.549	0.0143	0.238	NA	NA	NA	NA	0.238	1	1.43 (0.404<96>4.21)	1.43 (0.404<96>4.21)	1.56 (1.05<96>2.27)	109	450	0.862	0.127	5/5	0/0	40/47	0.357	0.00933	0.127
ABCA3	ENSG00000167972	ATP-binding cassette, sub-family A (ABC1), member 3	18	36	0	0	0	0	0.0391	NA	0.0391	NA	NA	NA	NA	0.0391	0.945	2.01 (1.07<96>3.63)	2.01 (1.07<96>3.63)		135	361	0.00326	0.0567	18/18	0/0	0/0	0.0567	NA	0.0567
ABCA4	ENSG00000198691	ATP-binding cassette, sub-family A (ABC1), member 4	28	127	0	0	0	0	0.471	NA	0.471	NA	NA	NA	NA	0.471	1	0.885 (0.565<96>1.34)	0.885 (0.565<96>1.34)		117	441	0.544	0.984	28/57	0/0	0/0	0.984	NA	0.984
ABCA5	ENSG00000154265	ATP-binding cassette, sub-family A (ABC1), member 5	20	83	0	0	0	0	0.756	NA	0.756	NA	NA	NA	NA	0.756	1	0.967 (0.562<96>1.59)	0.967 (0.562<96>1.59)		52	202	0.812	0.535	20/35	0/0	0/0	0.535	NA	0.535
ABCA6	ENSG00000154262	ATP-binding cassette, sub-family A (ABC1), member 6	30	90	0	0	0	0	0.145	NA	0.145	NA	NA	NA	NA	0.145	1	1.34 (0.854<96>2.04)	1.34 (0.854<96>2.04)		50	209	0.869	0.0534	30/36	0/0	0/0	0.0534	NA	0.0534
ABCA7	ENSG00000064687	ATP-binding cassette, sub-family A (ABC1), member 7	24	110	0	0	0	0	0.679	NA	0.679	NA	NA	NA	NA	0.679	1	0.876 (0.538<96>1.37)	0.876 (0.538<96>1.37)		90	348	0.758	0.456	24/64	0/0	0/0	0.456	NA	0.456
ABCA8	ENSG00000141338	ATP-binding cassette, sub-family A (ABC1), member 8	22	117	0	0	0	0	0.318	NA	0.318	NA	NA	NA	NA	0.318	1	0.754 (0.455<96>1.2)	0.754 (0.455<96>1.2)		55	248	0.659	0.524	22/59	0/0	0/0	0.524	NA	0.524
ABCA9	ENSG00000154258	ATP-binding cassette, sub-family A (ABC1), member 9	32	145	0	0	0	0	0.644	NA	0.644	NA	NA	NA	NA	0.644	1	0.886 (0.584<96>1.31)	0.886 (0.584<96>1.31)		73	253	0.243	0.738	32/57	0/0	0/0	0.738	NA	0.738
ABCB1	ENSG00000085563	ATP-binding cassette, sub-family B (MDR/TAP), member 1	8	28	0	0	0	0	0.678	NA	0.678	NA	NA	NA	NA	0.678	1	1.15 (0.452<96>2.58)	1.15 (0.452<96>2.58)		68	215	0.121	1	8/17	0/0	0/0	1	NA	1
ABCB10	ENSG00000135776	ATP-binding cassette, sub-family B (MDR/TAP), member 10	11	33	0	0	0	0	0.583	NA	0.583	NA	NA	NA	NA	0.583	1	1.34 (0.61<96>2.71)	1.34 (0.61<96>2.71)		31	95	0.195	0.341	11/13	0/0	0/0	0.341	NA	0.341
ABCB11	ENSG00000073734	ATP-binding cassette, sub-family B (MDR/TAP), member 11	16	35	0	0	0	0	0.0571	NA	0.0571	NA	NA	NA	NA	0.0571	1	1.84 (0.948<96>3.41)	1.84 (0.948<96>3.41)		67	220	0.159	0.103	16/19	0/0	0/0	0.103	NA	0.103
ABCB4	ENSG00000005471	ATP-binding cassette, sub-family B (MDR/TAP), member 4	6	29	0	0	0	0	0.936	NA	0.936	NA	NA	NA	NA	0.936	1	0.969 (0.358<96>2.26)	0.969 (0.358<96>2.26)		53	197	0.618	1	6/13	0/0	0/0	1	NA	1
ABCB5	ENSG00000004846	ATP-binding cassette, sub-family B (MDR/TAP), member 5	19	94	0	0	0	0	0.516	NA	0.516	NA	NA	NA	NA	0.516	1	0.811 (0.468<96>1.34)	0.811 (0.468<96>1.34)		41	225	0.0536	0.846	19/37	0/0	0/0	0.846	NA	0.846
ABCB6	ENSG00000115657	ATP-binding cassette, sub-family B (MDR/TAP), member 6	11	56	0	0	0	0	0.582	NA	0.582	NA	NA	NA	NA	0.582	1	0.788 (0.372<96>1.52)	0.788 (0.372<96>1.52)		33	151	0.57	0.919	11/24	0/0	0/0	0.919	NA	0.919
ABCB7	ENSG00000131269	ATP-binding cassette, sub-family B (MDR/TAP), member 7	NA	NA	NA	NA	2	13	NA	0.765	NA	NA	NA	NA	NA	NA	NA	0 (0<96>Inf)		0.617 (0.0676<96>2.73)	16	76	0.595	NA	0/0	0/0	2/7	NA	0.714	NA
ABCB8	ENSG00000197150	ATP-binding cassette, sub-family B (MDR/TAP), member 8	9	40	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	0.903 (0.385<96>1.89)	0.903 (0.385<96>1.89)		42	166	0.928	1	9/18	0/0	0/0	1	NA	1
ABCB9	ENSG00000150967	ATP-binding cassette, sub-family B (MDR/TAP), member 9	11	25	0	0	0	0	0.205	NA	0.205	NA	NA	NA	NA	0.205	1	1.77 (0.784<96>3.72)	1.77 (0.784<96>3.72)		49	128	0.0354	0.061	11/9	0/0	0/0	0.061	NA	0.061
ABCC1	ENSG00000103222	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	14	41	0	0	0	0	0.255	NA	0.255	NA	NA	NA	NA	0.255	1	1.37 (0.69<96>2.57)	1.37 (0.69<96>2.57)		84	370	0.499	0.368	14/23	0/0	0/0	0.368	NA	0.368
ABCC10	ENSG00000124574	ATP-binding cassette, sub-family C (CFTR/MRP), member 10	25	83	0	0	0	0	0.444	NA	0.444	NA	NA	NA	NA	0.444	1	1.21 (0.74<96>1.91)	1.21 (0.74<96>1.91)		95	306	0.0548	0.553	25/42	0/0	0/0	0.553	NA	0.553
ABCC11	ENSG00000121270	ATP-binding cassette, sub-family C (CFTR/MRP), member 11	18	84	0	0	0	0	0.2	NA	0.2	NA	NA	NA	NA	0.2	1	0.86 (0.486<96>1.44)	0.86 (0.486<96>1.44)		61	257	0.768	0.616	18/35	0/0	0/0	0.616	NA	0.616
ABCC12	ENSG00000140798	ATP-binding cassette, sub-family C (CFTR/MRP), member 12	28	113	0	0	0	0	0.872	NA	0.872	NA	NA	NA	NA	0.872	1	0.995 (0.633<96>1.52)	0.995 (0.633<96>1.52)		75	246	0.115	0.781	28/51	0/0	0/0	0.781	NA	0.781
ABCC2	ENSG00000023839	ATP-binding cassette, sub-family C (CFTR/MRP), member 2	22	121	0	0	0	0	0.216	NA	0.216	NA	NA	NA	NA	0.216	1	0.73 (0.441<96>1.16)	0.73 (0.441<96>1.16)		62	243	0.88	0.94	22/43	0/0	0/0	0.94	NA	0.94
ABCC3	ENSG00000108846	ATP-binding cassette, sub-family C (CFTR/MRP), member 3	22	82	0	0	0	0	0.718	NA	0.718	NA	NA	NA	NA	0.718	1	1.08 (0.64<96>1.74)	1.08 (0.64<96>1.74)		79	280	0.298	0.536	22/36	0/0	0/0	0.536	NA	0.536
ABCC4	ENSG00000125257	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	14	48	0	0	0	0	0.665	NA	0.665	NA	NA	NA	NA	0.665	1	1.17 (0.596<96>2.16)	1.17 (0.596<96>2.16)		59	221	0.655	0.571	14/23	0/0	0/0	0.571	NA	0.571
ABCC5	ENSG00000114770	ATP-binding cassette, sub-family C (CFTR/MRP), member 5	2	20	0	0	0	0	0.278	NA	0.278	NA	NA	NA	NA	0.278	1	0.401 (0.0455<96>1.65)	0.401 (0.0455<96>1.65)		58	255	0.552	0.513	2/8	0/0	0/0	0.513	NA	0.513
ABCC6	ENSG00000091262	ATP-binding cassette, sub-family C (CFTR/MRP), member 6	18	83	0	0	2	2	0.745	0.216	0.745	NA	NA	NA	NA	0.745	1	0.87 (0.492<96>1.46)	0.87 (0.492<96>1.46)	4.01 (0.291<96>55.3)	66	311	0.344	0.652	18/34	0/0	2/1	0.813	0.364	0.652
ABCC8	ENSG00000006071	ATP-binding cassette, sub-family C (CFTR/MRP), member 8	15	57	0	0	4	14	0.8	0.802	0.759	NA	NA	NA	NA	0.759	1	1.06 (0.555<96>1.89)	1.06 (0.555<96>1.89)	1.15 (0.275<96>3.65)	90	329	0.551	0.887	15/29	0/0	4/9	0.887	1	0.887
ABCC9	ENSG00000069431	ATP-binding cassette, sub-family C (CFTR/MRP), member 9	21	45	0	0	3	28	0.0154	0.216	0.0154	NA	NA	NA	NA	0.0154	0.822	1.87 (1.06<96>3.21)	1.87 (1.06<96>3.21)	0.43 (0.0836<96>1.39)	46	252	0.0389	0.0155	21/20	0/0	3/9	0.0155	0.769	0.0155
ABCD1	ENSG00000101986	ATP-binding cassette, sub-family D (ALD), member 1	1	4	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	1 (0.0204<96>10.1)	1 (0.0204<96>10.1)		23	93	1	1	1/3	0/0	0/0	1	NA	1
ABCD2	ENSG00000173208	ATP-binding cassette, sub-family D (ALD), member 2	4	15	0	0	0	0	0.76	NA	0.76	NA	NA	NA	NA	0.76	1	1.34 (0.38<96>3.87)	1.34 (0.38<96>3.87)		24	98	1	0.473	4/6	0/0	0/0	0.473	NA	0.473
ABCD3	ENSG00000117528	ATP-binding cassette, sub-family D (ALD), member 3	5	23	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	0.872 (0.259<96>2.35)	0.872 (0.259<96>2.35)		23	67	0.162	0.639	5/15	0/0	0/0	0.639	NA	0.639
ABCD4	ENSG00000119688	ATP-binding cassette, sub-family D (ALD), member 4	9	49	0	0	0	0	0.533	NA	0.533	NA	NA	NA	NA	0.533	1	0.737 (0.318<96>1.52)	0.737 (0.318<96>1.52)		39	134	0.585	0.597	9/25	0/0	0/0	0.597	NA	0.597
ABCE1	ENSG00000164163	ATP-binding cassette, sub-family E (OABP), member 1	1	6	0	0	10	27	1	0.281	0.792	NA	NA	NA	NA	0.792	1	0.669 (0.0145<96>5.51)	0.669 (0.0145<96>5.51)	1.49 (0.642<96>3.17)	24	68	0.129	0.299	1/2	0/0	10/15	0.394	0.386	0.299
ABCF1	ENSG00000204574	ATP-binding cassette, sub-family F (GCN20), member 1	6	30	0	0	5	15	0.383	0.574	0.383	NA	NA	NA	NA	0.383	1	0.803 (0.273<96>1.96)	0.803 (0.273<96>1.96)	1.34 (0.38<96>3.87)	36	130	0.633	0.216	6/20	0/0	5/7	0.216	0.543	0.216
ABCF2	ENSG00000033050	ATP-binding cassette, sub-family F (GCN20), member 2	5	13	0	0	0	4	0.417	1	0.417	NA	NA	NA	NA	0.417	1	1.54 (0.431<96>4.61)	1.54 (0.431<96>4.61)	0 (0<96>6.08)	32	126	0.916	0.512	5/6	0/0	0/1	0.512	1	0.512
ABCF3	ENSG00000161204	ATP-binding cassette, sub-family F (GCN20), member 3	8	23	0	0	0	0	0.389	NA	0.389	NA	NA	NA	NA	0.389	1	1.4 (0.54<96>3.23)	1.4 (0.54<96>3.23)		35	146	0.929	0.685	8/14	0/0	0/0	0.685	NA	0.685
ABCG1	ENSG00000160179	ATP-binding cassette, sub-family G (WHITE), member 1	2	8	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	1 (0.104<96>5.03)	1 (0.104<96>5.03)		38	153	1	1	2/4	0/0	0/0	1	NA	1
ABCG2	ENSG00000118777	ATP-binding cassette, sub-family G (WHITE), member 2	20	56	0	0	0	0	0.188	NA	0.188	NA	NA	NA	NA	0.188	1	1.43 (0.815<96>2.43)	1.43 (0.815<96>2.43)		22	90	1	0.306	20/29	0/0	0/0	0.306	NA	0.306
ABCG4	ENSG00000172350	ATP-binding cassette, sub-family G (WHITE), member 4	10	31	0	0	3	5	0.499	0.185	0.327	NA	NA	NA	NA	0.327	1	1.29 (0.566<96>2.71)	1.29 (0.566<96>2.71)	2.41 (0.374<96>12.4)	31	128	1	0.533	10/17	0/0	3/4	0.585	0.7	0.533
ABCG5	ENSG00000138075	ATP-binding cassette, sub-family G (WHITE), member 5	13	35	0	0	0	0	0.202	NA	0.202	NA	NA	NA	NA	0.202	1	1.49 (0.724<96>2.89)	1.49 (0.724<96>2.89)		25	95	0.808	0.531	13/20	0/0	0/0	0.531	NA	0.531
ABCG8	ENSG00000143921	ATP-binding cassette, sub-family G (WHITE), member 8	11	53	0	0	0	0	0.6	NA	0.6	NA	NA	NA	NA	0.6	1	0.833 (0.392<96>1.61)	0.833 (0.392<96>1.61)		40	166	0.93	0.679	11/26	0/0	0/0	0.679	NA	0.679
ABHD1	ENSG00000143994	Abhydrolase domain containing 1	10	67	0	0	0	0	0.166	NA	0.166	NA	NA	NA	NA	0.166	1	0.599 (0.275<96>1.17)	0.599 (0.275<96>1.17)		20	71	0.64	0.473	10/29	0/0	0/0	0.473	NA	0.473
ABHD10	ENSG00000144827	Abhydrolase domain containing 10	3	18	0	0	0	0	0.782	NA	0.782	NA	NA	NA	NA	0.782	1	0.669 (0.126<96>2.29)	0.669 (0.126<96>2.29)		14	50	0.616	0.772	3/9	0/0	0/0	0.772	NA	0.772
ABHD11	ENSG00000106077	Abhydrolase domain containing 11	0	12	0	0	0	0	0.16	NA	0.16	NA	NA	NA	NA	0.16	1	0 (0<96>1.44)	0 (0<96>1.44)		21	71	0.609	0.314	0/4	0/0	0/0	0.314	NA	0.314
ABHD12	ENSG00000100997	Abhydrolase domain containing 12	8	25	0	0	0	0	0.582	NA	0.582	NA	NA	NA	NA	0.582	1	1.28 (0.501<96>2.94)	1.28 (0.501<96>2.94)		10	53	0.525	0.551	8/11	0/0	0/0	0.551	NA	0.551
ABHD12B	ENSG00000131969	Abhydrolase domain containing 12B	2	30	0	0	0	0	0.0246	NA	0.0246	NA	NA	NA	NA	0.0246	0.868	0.268 (0.031<96>1.05)	0.268 (0.031<96>1.05)		13	58	0.88	0.0571	2/15	0/0	0/0	0.0571	NA	0.0571
ABHD13	ENSG00000139826	Abhydrolase domain containing 13	6	2	0	0	0	0	0.00106	NA	0.00106	NA	NA	NA	NA	0.00106	0.302	12 (2.15<96>122)	12 (2.15<96>122)		16	61	0.883	0.00508	6/1	0/0	0/0	0.00508	NA	0.00508
ABHD14A	ENSG00000248487	Abhydrolase domain containing 14A	0	12	0	0	0	0	0.133	NA	0.133	NA	NA	NA	NA	0.133	1	0 (0<96>1.44)	0 (0<96>1.44)		13	48	0.731	0.547	0/3	0/0	0/0	0.547	NA	0.547
ABHD14B	ENSG00000114779	Abhydrolase domain containing 14B	3	13	0	0	0	0	0.725	NA	0.725	NA	NA	NA	NA	0.725	1	0.926 (0.169<96>3.37)	0.926 (0.169<96>3.37)		12	31	0.341	0.409	3/4	0/0	0/0	0.409	NA	0.409
ABHD15	ENSG00000168792	Abhydrolase domain containing 15	7	36	0	0	10	38	0.718	0.847	0.718	NA	NA	NA	NA	0.718	1	0.78 (0.293<96>1.78)	0.78 (0.293<96>1.78)	1.06 (0.469<96>2.16)	29	104	0.608	0.467	7/11	0/0	10/11	0.638	0.268	0.467
ABHD16A	ENSG00000204427	Abhydrolase domain containing 16A	7	15	0	0	0	5	0.246	0.608	0.246	NA	NA	NA	NA	0.246	1	1.87 (0.646<96>4.88)	1.87 (0.646<96>4.88)	0 (0<96>4.38)	24	79	0.467	0.533	7/9	0/0	0/1	0.533	1	0.533
ABHD16B	ENSG00000183260	Abhydrolase domain containing 16B	1	3	0	0	0	0	0.864	NA	0.864	NA	NA	NA	NA	0.864	1	1.34 (0.0255<96>16.7)	1.34 (0.0255<96>16.7)		13	52	1	1	1/2	0/0	0/0	1	NA	1
ABHD17A	ENSG00000129968	Abhydrolase domain containing 17A	1	8	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	0.502 (0.0113<96>3.74)	0.502 (0.0113<96>3.74)		28	78	0.12	0.45	1/2	0/0	0/0	0.45	NA	0.45
ABHD17B	ENSG00000107362	Abhydrolase domain containing 17B	0	8	0	0	0	11	0.365	0.122	0.209	NA	NA	NA	NA	0.209	1	0 (0<96>2.35)	0 (0<96>2.35)	0 (0<96>1.6)	18	50	0.337	0.735	0/2	0/0	0/5	1	0.166	0.735
ABHD17C	ENSG00000136379	Abhydrolase domain containing 17C	2	1	1	2	5	12	0.3	0.406	0.227	NA	NA	NA	NA	0.227	1	8.03 (0.418<96>472)	4.01 (0.538<96>30)	1.67 (0.462<96>5.1)	3	27	0.338	0.511	2/1	1/1	5/6	0.641	0.398	0.511
